epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,8009.49,0.81424,1.33676,0.45133,0.47381,1.03034,0.97984,0.9726,0.98486,0.76691,0.96556,0.87671,0.92777,0.8005,0.97226,1.28365,0.32888,0.54937,1.05054,0.0001387,0.0001387,0.0001387
89,8098.41,0.80329,1.56318,0.48302,0.48182,1.00305,0.97176,0.9726,0.98492,0.78964,0.96646,0.87671,0.94318,0.80437,0.91308,1.27334,0.32791,0.5189,1.04348,0.0001288,0.0001288,0.0001288
90,8186.85,0.7516,1.39479,0.48381,0.46967,0.98782,1,0.94119,0.98152,0.80609,0.96638,0.90411,0.94978,0.81055,0.87902,1.23541,0.33582,0.49598,1.04695,0.0001189,0.0001189,0.0001189
91,8275.43,0.69864,0.8577,0.27783,0.38817,0.93102,1,0.94152,0.98069,0.77785,0.98243,0.91781,0.96233,0.80694,0.91766,1.21335,0.33201,0.4974,1.05117,0.000109,0.000109,0.000109
92,8363.41,0.72081,0.92523,0.28726,0.37606,0.93404,1,0.94206,0.98056,0.75767,0.96874,0.90411,0.94775,0.80482,0.95968,1.23213,0.32434,0.50518,1.06234,9.91e-05,9.91e-05,9.91e-05
93,8450.95,0.67536,0.93374,0.27791,0.35953,0.93243,0.98571,0.94474,0.97952,0.80062,0.95648,0.90322,0.94796,0.80574,0.86446,1.2262,0.32158,0.50674,1.03256,8.92e-05,8.92e-05,8.92e-05
94,8538.8,0.66074,0.91695,0.27242,0.34389,0.91047,0.98562,0.93924,0.97909,0.80616,0.95645,0.90258,0.95181,0.81089,0.85839,1.24624,0.31965,0.56024,1.03638,7.93e-05,7.93e-05,7.93e-05
95,8626.99,0.69398,0.87523,0.27149,0.3784,0.94565,0.98544,0.92742,0.97156,0.78486,0.97059,0.90404,0.95333,0.80164,0.86616,1.25539,0.31075,0.5031,1.02876,6.94e-05,6.94e-05,6.94e-05
96,8715.64,0.71605,0.88629,0.25846,0.36766,0.96546,1,0.94163,0.98055,0.77734,0.96792,0.90411,0.95281,0.80767,0.89163,1.24895,0.30899,0.48886,1.03436,5.95e-05,5.95e-05,5.95e-05
97,8803.49,0.66148,0.86912,0.26001,0.34051,0.92038,1,0.94173,0.98015,0.77836,0.96729,0.90411,0.93976,0.81332,0.87917,1.25004,0.30625,0.49239,1.02611,4.96e-05,4.96e-05,4.96e-05
98,8891.29,0.69412,0.88454,0.26708,0.34548,0.95469,1,0.94091,0.97994,0.80266,0.96759,0.90411,0.92138,0.81241,0.84451,1.24482,0.30521,0.48844,1.01106,3.97e-05,3.97e-05,3.97e-05
99,8979.49,0.64635,0.81582,0.25652,0.33826,0.89931,1,0.94026,0.98056,0.80341,0.97052,0.90201,0.92185,0.81711,0.83046,1.23586,0.30448,0.49581,1.00511,2.98e-05,2.98e-05,2.98e-05
100,9067.77,0.79836,0.93944,0.26079,0.42209,0.98035,1,0.93824,0.98057,0.80058,0.97049,0.90103,0.92568,0.81507,0.82678,1.23431,0.30318,0.4905,1.00335,1.99e-05,1.99e-05,1.99e-05
